id;custom_name
1;вул. 24 Серпня 1 -1 під. кв. 1-36
2;вул. 24 Серпня 1 - 2 під. кв. 37-72
3;вул. 24 Серпня 3 - 1 під. кв. 1-45
4;вул. 24 Серпня 3 - 2 під. кв. 46-81
5;вул. 24 Серпня 3 - 3 під. кв. 82-117
6;вул. 24 Серпня 5 - 1 під. кв. 1-34
7;вул. 24 Серпня 5 - 2 під. кв. 35-79
8;вул. 24 Серпня 7 - кв. 1-36
9;вул. 24 Серпня 7А - 1 під. кв. 1-18
10;вул. 24 Серпня 7А - 2 під. кв. 18-36
11;вул. 24 Серпня 9 - 1 під. кв. 1-45
12;вул. 24 Серпня 9 - 2 під. кв. 46-99
13;вул. 24 Серпня 11 - 1 під. кв. 1-36
14;вул. 24 Серпня 11 - 2 під. кв. 37-72
15;вул. 24 Серпня 11 - 3 під. кв. 73-108
16;вул. Стуса 41 - 1 під. кв. 1-36
17;вул. Стуса 41 - 2 під. кв. 37-72
18;вул. Стуса 39 - 1 під. кв. 1-36
19;вул. Стуса 39 - 2 під. кв. 37-90
20;вул. Стуса 45 - 1 під. кв. 1-51
21; вул. Стуса 45 - 2 під. кв. 52-102
22;вул. Стуса 43 - 1 під. кв. 1-36
23;вул. Стуса 43 - 2 під. кв. 37-68
24;вул. Стуса 43 - 3 під. кв. 69-98
25; вул. Стуса 35
26;пров. Ключний 3 - 3 під. кв. 71-110
27;вул. Стуса 33 -  кв. 1-60
28;вул. Стуса 37Б - кв. 1-40
29;вул. Стуса 37А - кв. 1-45 
30;вул. Стуса 37 - кв. 1-36
31;вул. Миколайчука 6 - 1 під.
32;вул. Миколайчука 6 - 2 під.
33;вул. Миколайчука 6 - 3 під.
34;вул. Миколайчука 6 - 4 під.
35;вул. Миколайчука 6 - 5 під.
36;вул. Миколайчука 8 - 1 під. кв. 1-43
37;вул. Миколайчука 8 - 2 під.
38;вул. Миколайчука 10 - 2 під. кв. 21-39 
39;вул. Миколайчука 10 - 1 під. кв. 1-20
40;вул. Миколайчука 10А - 2 під. кв. 35-60
41;вул. Миколайчука 10А - 1 під. кв. 1-34 
42;вул. Миколайчука 12 - 1 під. кв. 1-54
43;вул. Миколайчука 12 - 2 під. кв. 55-108
44;вул. Миколайчука 14 - 3 під. кв. 69-102
45;вул. Миколайчука 14 -  2 під. кв. 39-68
46;вул. Миколайчука 14 - 1 під. кв. 1-38
47;вул. Миколайчука 16 - 1 під. кв. 1-38
48;вул. Миколайчука 16 - 2 під. кв. 39-81
49;вул. Миколайчука 18 - 2 під. кв. 35-64
50;вул. Миколайчука 18 - 1 під. кв. 1-34
51;вул. Миколайчука 22 - 3 під. кв. 65-91
52;вул. Миколайчука 22 - 2 під. кв. 35-64
53;вул. Миколайчука 22 - 1 під. кв. 1-34
54;вул. Миколайчука 24 - 2 під. кв. 37-72
55;вул. Миколайчука 24 - 1 під. кв. 1-36
56;вул. Миколайчука 30 - 1 під. кв. 1-36 
57;вул. Миколайчука 30 - 2 під. кв. 37-63 
58;вул. Миколайчука 30 - 3 під. кв. 64-105
59;вул. Миколайчука 26 2 під. кв. 37-81
60;вул. Миколайчука 26 1 під. кв. 1-36
61;вул. Симоненка 26 - 3 під. кв. 100-144
62;вул. Симоненка 26 - 2 під. кв. 46-99
63;вул. Симоненка 26 - 1 під. кв. 1-45
64;вул. Симоненка 28 - 1 під. кв. 1-30
65;вул. Миколайчука 20В - 1 під. кв. 1-12 
66;вул. Миколайчука 20В - 2 під. кв. 13-24
67;вул. Миколайчука 20 - 1 під. 1-24 кв.
68;вул. Миколайчука 20 - 2 під. 25-44 кв.
69;вул. Миколайчука 20 - 3 під. 43-60 кв.
70;вул. Миколайчука 20А - 1 під. кв. 1-16
71;вул. Миколайчука 20А - 3 під. кв. 31-40
72;вул. Миколайчука 20Б - 1 під.
73;вул. Миколайчука 20Г - 1 під. кв. 1-24
74;вул. Миколайчука 20Г - 2 під.
75;вул. Симоненка 30 - 1 під. кв. 1-45
76;вул. Симоненка 30 - 2 під. кв. 46-90
77;вул. Симоненка 30 -  3 під. кв. 91-135
78;вул. Симоненка 32 - 1 під. кв. 1-34
79;вул. Симоненка 32 - 2 під. кв. 35-64
80;вул. Симоненка 32 - 3 під. кв. 65-90
81;вул.Симоненка 34 1 під. кв. 1-51
82;вул. Симоненка 34 - 2 під. кв. 52-96
83;вул. Миколайчука 20Б - 2 під.
84;вул. Миколайчука 20А - 2 під. кв. 16-30
85;пров. Ключний 7 - 6 під. кв. 217-266
86;Симоненка 45 - 1 під. кв.  1-27а
87;Симоненка 45 - 2 під. кв.  28-59
88;Симоненка 45 - 3 під. кв. 60-87
89;вул. Симоненка 45 - 4 під. кв. 88-105а
90; Симоненка 45 - 5 під. кв. 106-125
91;вул. Симоненка 33В - 1 під. кв. 1-18
92;вул. Симоненка 33В 2 під.
93;вул. Симоненка 33Б  - 1 під. кв. 37-57
94;вул. Симоненка 33Б - 2 під.
95;ул. Симоненка 33А - 2 під.
96;вул. Симоненка 33А - 1 під. 
97;вул. Симоненка 31 - 4 під. кв. 100-128
98;вул. Симоненка 31 - 3 під. кв. 72-99
99; вул. Симоненка 30 - 2 під. кв. 46-90
100;вул. Симоненка 31 - 1 під. кв. 1-36
101; вул. Симоненка 35 - 1 під. кв. 1-39
102;вул. Симоненка 35 - 2 під. кв. 40-78
103;вул. Симоненка 37 - 1 під. кв. 1-40
104;вул. Симоненка 37 -  2 під. кв. 41-80
105; вул. Симоненка 39 - 1 під. кв. 1-39
106; вул. Симоненка 39 - 2 під. кв. 40-78
107;вул. Симоненка 41 - 1 під. кв. 1-38
108;вул. Симоненка 41 - 2 під. кв. 39-77
109;вул. Симоненка 41 - 3 під. кв. 78-117
110;вул. Симоненка 41 -  4 під. кв. 118-156
111;пров. Ключний 5 - 4 під. кв. 140-169
112;пров. Ключний 5 - 3 під. кв. 90-139
113;пров. Ключний 5 - 2 під. кв. 50-89
114;пров. Ключний 5 - 1 під. кв. 1-49
115;пров. Ключний 3 - 4 під. кв. 11-148
116;пров. Ключний 3 - 1 під. кв. 1-40
117;пров. Ключний 3 - 2 під. кв. 41-70
118;вул. Симоненка 34 - 3 під. кв. 97-132
119;пров. Ключний 7 - 5 під.  кв. 179-216
120;пров. Ключний 7 -  4 під. кв. 139-178
121;пров. Ключний 7 - 3 під. кв. 79-138
122;пров. Ключний 7 -  2 під. кв. 40-78
123;пров. Ключний 7 -  1 під. кв. 1-39
124;вул . Потічна 1Д - 6 під. кв. 178-219
125;вул . Потічна 1Д - 5 під. кв. 132-177
126;вул . Потічна 1Д - 4 під. кв. 101-131
127;вул . Потічна 1Д - 3 під. кв. 69-100
128;вул . Потічна 1Д - 2 під. кв. 33-68
129;вул . Потічна 1Д - 1 під. кв. 1-32
130;вул. Яблунева 1 - (корп.3) 3 під. кв. 63-95
131;вул. Яблунева 1 - (корп.3) 2 під. кв. 30-62
132;вул. Яблунева 1 - (корп.3) 1 під. кв. 1-29
133;вул. Яблунева 1 - (корп.2) 2 під. кв. 35-67
134;вул. Яблунева 1 - (корп.2) 1 під. кв. 1-34
135;вул. Яблунева 1 - (корп.1) 2 під. кв. 33-65
136;вул. Яблунева 1 - (корп.1) 1 під. кв. 1-32
137;вул. Потічна 1 - 1 під. кв. 1-27
138;вул. Потічна 1 - 2 під. кв. 28-72
139;вул. Потічна 1 - 3 під. кв. 73-112
140;вул. Потічна 1 - 1 під. кв. 113-152
141;вул. Потічна 1 - 1 під. кв. 153-202
142;вул. Яблунева 6 - 4 під. кв. 104-151
143;вул. Яблунева 7 - 1 під. кв. 1-31
144;вул. Яблунева 8 - 2 під. кв. 32-67
145;вул. Яблунева 9 - 3 під. кв. 68-103
146;вул. Яблунева 2 - 5 під. кв. 139-177
147;вул. Яблунева 2 - 1 під. кв. 1-28
148;вул. Яблунева 2 - 2 під. кв. 29-63
149;вул. Яблунева 2 - 3 під. кв. 64-99
150;вул. Яблунева 2 - 4 під. кв. 100-135
151;вул. Яблунева 2 - 6 під. кв. 178-208
152;вул. Яблунева 2 - 7 під. кв. 209-244
153;вул. Яблунева 2 - 8 під. кв. 245-280
154;вул. Яблунева 2 - 9 під. кв. 281-304
155;"вул. Вовчинецька 2Б (ЖК ""Вовчинецький"")"
156;вул. Місячна 2А - 6 під'їздів
157;вул. Місячна, Вовчинецька (до 10 буд.)
158;вул. Височана (парні), Гайдея (парні), Потічна (непарні)
159;вул. Височана (непарні),  Гайова (парні), Гайдея (парні), пров. Гайдея.
160;вул. Вовчинецька до моста, Гайова (непарні)
161;вул. Гайдея (непарні), Гайова (парні)
162;вул. Гайдея (непарні до дамби), Степана Бандери (ліва сторона) 
163;вул. Височана (непарні), пров. Гайдея (парні), вул. Гайдея (парні)
164;вул. Героїв УПА, Бандери
165;вул. Бандери (парні),  Героїв УПА, Богуна
166;вул. Коновальця (непарні), Бугая (непарні), Гайдя (права), пров. Підлузький, Богуна (непарні)
167;вул. Бандери (непарні), Євгена Коновальця (парні)
168;вул. Бандери (парні), Богуна, Героїв УПА (непарні)
169;вул. Соколовської (непарні), Героїв УПА (парні), Івана Богуна (парні), Приозерна
170;вул. Отця Бабина (непарні), Соколовської (парні), Приозерна, Героїв УПА (парні)
171;вул. Затишна (непарні), Отця Бабина (парні)
172;вул. Степана Бандери (парні), Героїв УПА (непарні)
173;вул. Дебенка (непарні), Затишна (парні)
174;вул. Новгородського (непарні), Дебенка (парні)
175;вул. Хмельницького (ліва), Новгородського (парні)
176;вул. 2000-річчя  (парні), Патріарха Володимира (непарні)
177;Ключний пров., вул. Хмельницького (права), 2000-річчя (непарні)
178;вул. Патріарха Володимира (парні), вул. Східна
179;Дачі 24 Серпня, вул Весняна, Садова ліва сторона, Східна
180;Дачі (вул. Садова права сторона, Гоцуляка)
181;вул. Бугая (непарні)
182;вул. Симоненка 28 - 2 під. кв. 31-62
